汉语原文	人工翻译结果
如果你看过电影《国家宝藏》，你可能会以为《独立宣言》背面会画着一份藏宝图。	གལ་ཏེ་ཁྱོད་ཀྱིས་གློག་བརྙན《རྒྱལ་ཁབ་ཀྱི་ནོར་མཛོད》ཅེས་པར་བལྟས་ཚེ། ཁྱོད་ཀྱིས《རང་བཙན་བསྒྲགས་གཏམ》གྱི་རྒྱབ་ངོས་སུ་ནོར་རིས་ཤིག་བྲིས་ཡོད་སྙམ་སྲིད།
然而事实并非如此。虽然这份文件的背面写了一些东西，但并是不一份藏宝图。	འོན་ཀྱང་དོན་དངོས་ནི་དེ་འདྲ་ཞིག་མ་རེད། ཡིག་ཆ་དེའི་རྒྱབ་ངོས་སུ་ཡིག་ཆ་འགའ་རེ་བྲིས་ཡོད་མོད་ནོར་རིས་གཅིག་ཀྱང་བྲིས་མེད།
《独立宣言》背面写着“Original Declaration of Independence dated 4th July 1776（《独立宣言》原件，1776 年 7 月 4 日）”的字样。文字写在文件底部，是倒过来的。	《རང་བཙན་བསྒྲགས་གཏམ།》གྱི་རྒྱབ་ངོས་སུ་“Original Declaration of Independence dated 4th July 1776（《རང་བཙན་བསྒྲགས་གཏམ།》གྱི་མ་ཡིག་དང་1776ལོའི་ཟླ་7ཚེས་4ཉིན།)”ཞེས་པའི་ཡི་གེ་བྲིས་ཡོད། ཡི་གེ་ནི་ཡིག་ཆའི་མཐིལ་དུ་བྲིས་ཡོད་པ་དང་ལྡོག་ནས་ཡོད་པ་རེད།
虽然没有人能确定作者是谁，但这个大型羊皮纸文档（尺寸为 29¾ 英寸乘以 24½ 英寸）据称在刚写成的时候是卷起来存放的。	རྩོམ་པ་པོ་སུ་ཡིན་པ་གཏན་འཁེལ་བྱེད་ཐུབ་མཁན་མེད་ནའང་ལུག་གི་པགས་པའི་ཡིག་ཚགས་ཆེ་གྲས(རིང་ཚད་ལ་དབྱིན་ཚུན་29¾དང་དབྱིན་ཚུན24½སྒྱུར་གྱི་ཡོད)ཞེས་པ་བྲིས་མ་ཐག་པའི་དུས་སུ་བམ་པོ་བསྒྲིགས་ནས་ཉར་ཚགས་བྱས་པ་ཞིག་རེད།
因此，很可能这个符号只是作为一个标签添加的。	དེར་བརྟེན། བརྡ་རྟགས་འདི་ནི་ཤོག་རྟགས་ཤིག་ཏུ་བརྩིས་ཏེ་ཁ་སྣོན་བྱས་པ་ཙམ་མོ།།
诺曼底登陆和随后的战斗解放了法国北部，但南部仍然没有解放。	ནུའོ་མན་ཏི་སྐམ་སར་འཛེགས་པ་དང་དེ་རྗེས་ཀྱི་དམག་འཐབ་ཀྱིས་ཧྥ་རན་སེའི་བྱང་རྒྱུད་བཅིངས་འགྲོལ་བཏང་མོད། འོན་ཀྱང་ལྷོ་རྒྱུད་ལ་སྔར་བཞིན་བཅིངས་འགྲོལ་ཐོབ་མེད།
它由“维希”法国人统治。这些法国人在 1940 年与德国人达成了和平协议，不反抗侵略者，而是和他们合作。	དེ་ནི་“ཝེ་ཞི་”ཧྥ་རན་སིའི་མི་ཡིས་དབང་སྒྱུར་བྱས་པ་རེད། ཧྥ་རན་སི་དེ་དག་གིས་1940ལོར་འཇར་མན་པ་དང་ཞི་བདེའི་གྲོས་མཐུན་བཞག་ནས་བཙན་འཛུལ་པར་འགོག་རྒོལ་མི་བྱེད་པར་ཁོ་ཚོ་དང་མཉམ་འབྲེལ་བྱས་པ་རེད།
1940 年 8 月 15 日，盟军攻入法国南部，这次进攻被称为“龙骑兵行动”。	1940ལོའི་ཟླ་8ཚེས་15ཉིན། མནའ་མཐུན་དམག་དཔུང་གིས་ཧྥ་རན་སེའི་ལྷོ་རྒྱུད་དུ་དཔུང་འཇུག་བྱས་ཤིང་། ད་ཐེངས་ཀྱི་ཕར་རྒོལ་ལ“འབྲུག་རྟ་དམག་གཡུལ་དོན་”ཅེས་བརྗོད་ཀྱི་ཡོད།
他曾被海盗抢劫，在西藏被疯狗袭击，在尼泊尔逃婚，还曾在印度被捕。	ཁོང་དེ་སྔ་མཚོ་ཇག་གིས་འཕྲོག་བཅོམ་བྱས། བོད་དུ་ཁྱི་སྨྱོན་གྱིས་འཇབ་རྒོལ་བྱས། ནེ་པ་ལར་བྲོས་ཏེ་གཉེན་སྒྲིག་བྱས་པ་མ་ཟད་ད་དུང་རྒྱ་གར་དུ་འཛིན་བཟུང་ཡང་བྱས་མྱོང་།
仅仅两个星期，美国和自由法国的军队就解放了法国南部，并转向德国。	གཟའ་འཁོར་གཉིས་ཙམ་གྱི་རིང་ལ་ཨ་རི་དང་རང་དབང་ཧྥ་རན་སིའི་དམག་དཔུང་གིས་ཧྥ་རན་སིའི་ལྷོ་རྒྱུད་བཅིངས་འགྲོལ་བཏང་ཐོག་འཇར་མན་གྱི་ཕྱོགས་སུ་འཁོར་བ་རེད།
文明是一种由共同生活、合作工作的人群（社会）所共享的单一文化。	ཤེས་རིག་ནི་འཚོ་བ་མཉམ་དུ་སྐྱེལ་བ་དང་ལས་ཀ་མཉམ་ལས་བྱེད་མཁན་གྱི་མི་ཚོགས་（སྤྱི་ཚོགས）ཀྱིས་མཉམ་སྤྱོད་བྱེད་པའི་རིག་གནས་སྣ་གཅིག་ཡིན།
“文明”一词来自拉丁语“civilis”（意为“公民的”），与拉丁语"civis"（意为“公民”）及"civitas"（意为“城市”或“城邦”）都有关，这也以某种方式定义了社会的规模。	“ཤེས་དཔལ་”ཞེས་པའི་ཐ་སྙད་དེ་ལ་ཏིང་སྐད་ཀྱི“civilis”(“སྤྱི་དམངས་ཀྱི་”ཟེར།)ནས་བྱུང་བ་དང་། ལ་ཏིང་སྐད་ཀྱི“civis”དང་།“སྤྱི་དམངས་”(“civitas”(“གྲོང་ཁྱེར་”དང་ཡང་ན་“གྲོང་པང་”)གཉིས་ཀར་འབྲེལ་བ་ཡོད་ཅིང་། བྱེད་སྟངས་ཤིག་གི་ཐོག་ནས་སྤྱི་ཚོགས་ཀྱི་གཞི་ཁྱོན་ལ་མཚན་ཉིད་ཀྱང་བཞག
城邦是民族的前身。文明型文化意味着知识的代代相传，文化的足迹萦绕留存，还有文化能够公平地传播。	རྒྱལ་ཕྲན་ནི་མི་རིགས་ཀྱི་སྔོན་གྱི་འབྱུང་ཁུངས་ཡིན། ཤེས་དཔལ་རྣམ་པའི་རིག་གནས་ཀྱིས་ཤེས་བྱའི་མི་རབས་ནས་མི་རབས་བར་རྒྱུན་འཛིན་དང་རིག་གནས་ཀྱི་རྐང་རྗེས་གང་སར་བཞག་ཡོད་པ་མ་ཟད། རིག་གནས་ཀྱང་འདྲ་མཉམ་ངང་ཁྱབ་སྤེལ་གཏོང་ཐུབ་པ་མཚོན་གྱིན་ཡོད།
少数民族文化常常没有留下相关的历史证据就消失无踪，而且不被当做是像样的文明。	གྲངས་ཉུང་མི་རིགས་ཀྱི་རིག་གནས་ཀྱིས་རྟག་ཏུ་དེ་དང་འབྲེལ་བ་ཡོད་པའི་ལོ་རྒྱུས་ཀྱི་དཔང་རྟགས་བཞག་མེད་དེའི་རྗེས་ཀྱང་མེད་པར་གྱུར་པ་མ་ཟད། དཔེ་ཡོད་ཀྱི་ཤེས་རིག་ཡིན་པར་མི་བརྩི། 
在独立战争期间，十三个州最初根据《联邦条例》组成了弱小的中央政府（国会是其唯一的组成部分）。	རང་བཙན་དམག་འཁྲུག་རིང་ཀྲོའུ་བཅུ་གསུམ་གྱིས་ཐོག་མར《རྒྱལ་ཕྲན་མཉམ་འབྲེལ་སྲོལ་ཡིག》ལ་གཞིགས་ནས་ཉམ་ཆུང་གི་ཀྲུང་དབྱང་སྲིད་གཞུང（རྒྱལ་ཚོགས་ནི་དེའི་གྲུབ་ཆ་འབའ་ཞིག་དེ་ཡིན）གྲུབ་ཡོད།
国会没有征税的权力，而且因为没有国家行政部门或司法部门，国会只能依赖州政府执行所有法案，而州政府又经常不配合。	རྒྱལ་ཚོགས་ལ་དཔྱ་ཁྲལ་བསྡུ་བའི་དབང་ཆ་མེད་པར་མ་ཟད། རྒྱལ་ཁབ་སྲིད་འཛིན་སྡེ་ཚན་ནམ་ཁྲིམས་འཛིན་སྡེ་ཚན་མེད་པའི་དབང་གིས་རྒྱལ་ཚོགས་ཀྱིས་ཀྲོའུ་སྲིད་གཞུང་ལ་བརྟེན་ནས་ཁྲིམས་དོན་གྲོས་གཞི་ཚང་མ་ལག་བསྟར་བྱེད་དགོས་པ་དང་། ཀྲོའུ་སྲིད་གཞུང་གིས་ཀྱང་རྟག་ཏུ་གཞོགས་འདེགས་བྱེད་བཞིན་མེད།
它也没有权力推翻各州之间的税法和关税。	དེས་ཀྱང་ཁུལ་སོ་སོའི་བར་གྱི་ཁྲལ་ཁྲིམས་དང་སྒོ་ཁྲལ་རྩིས་མེད་དུ་གཏོང་བའི་དབང་ཆ་མེད།
这些条款必须得到所有州的一致同意才能进行修改，而各州对待中央政府的态度十分轻慢，以至于其州立代表经常缺席。	དོན་ཚན་དེ་དག་ལ་ངེས་པར་དུ་ཀྲོའུ་ཚང་མའི་མོས་མཐུན་གཅིག་གྱུར་ཐོབ་ཚེ་གཞི་ནས་བཟོ་བཅོས་རྒྱག་ཐུབ་པ་དང་། ཀྲོའུ་གཞན་ཁག་གིས་ཀྲུང་དབྱང་སྲིད་གཞུང་ལ་འཛིན་པའི་སྤྱོད་ཚུལ་ང་རྒྱལ་ཧ་ཅང་ཆེན་པོ་བྱེད་ཀྱི་ཡོད། ཁེར་ཚུགས་ཀྲོའུ་རེའི་ཚབ་བྱེད་མི་སྣ་རྒྱུན་དུ་ཞུགས་བཞིན་མེད།
意大利国家足球队和德国国家足球队都是世界上第二成功的球队，在 2006 年拿下了足球世界杯冠军。	དབྱི་ཐ་ལིའི་རྒྱལ་ཁབ་རྐང་རྩེད་སྤོ་ལོའི་རུ་ཁག་དང་འཇར་མན་རྒྱལ་ཁབ་རྐང་རྩེད་སྤོ་ལོའི་རུ་ཁག་གཉིས་ཀ་འཛམ་གླིང་ཐོག་གྲུབ་འབྲས་ཐོབ་པའི་སྤོ་ལོའི་རུ་ཁག་གཉིས་པ་ཡིན་པ་དང་2006ལོར་རྐང་རྩེད་སྤོ་ལོའི་འཛམ་གླིང་བུམ་པའི་ཨང་དང་པོ་བླངས་ཡོད།
802.11n 标准在 2.4Ghz 和 5.0Ghz 频率上都可运行。	802.11nགི་ཚད་གཞི་དེ་2.4Ghzདང་5.0Ghzའགུལ་ཚད་ཐོག་འཁོར་སྐྱོད་བྱེད་ཐུབ་ཀྱི་ཡོད།
流行的运动项目包括足球、篮球、排球、水球、击剑、橄榄球、自行车、冰球、轮滑曲棍球和一级方程式赛车。	དར་ཁྱབ་ཆེ་བའི་ལུས་རྩལ་རྣམ་གྲངས་ནང་རྐང་རྩེད་སྤོ་ལོ་དང་། ལག་རྩེད་སྤོ་ལོ། ཕའེ་ཆིའུ་སྤོ་ལོ། ཆུ་ལྒང་། གྲི་རྩེད། སྐྱུ་རུའི་སྤོ་ལོ།རྒྱུགས་རྟ། དར་ལྒང་། འཁྱགས་འདྲེད་སྤོ་ལོ་དང་རླངས་འཁོར་རིམ་པ་དང་པོའི་འགྲན་བསྡུར་བཅས་ཚུད་ཡོད།
冬季运动在北部地区最受欢迎，意大利人会在那里参加国际比赛和奥运会比赛。	དགུན་དུས་ཀྱི་ལུས་རྩལ་ལ་བྱང་རྒྱུད་ས་ཁུལ་དུ་དགའ་བསུ་ཆེ་ཤོས་ཐོབ་པ་དང་དབྱི་ཐ་ལིའི་མི་རྣམས་དེ་རུ་རྒྱལ་སྤྱིའི་འགྲན་བསྡུར་དང་ཨོ་ལིན་ཕིག་ལུས་རྩལ་འགྲན་ཚོགས་ཀྱི་འགྲན་བསྡུར་ནང་ཞུགས་རྒྱུ་རེད།
